GeneID,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC
Zm00001eb369580,Uncharacterized protein,3-HYDROXYBUTYRYL-COA DEHYDROGENASE (PTHR48075:SF5),dehydrogenase(PC00092),"catalytic activity(GO:0003824);enoyl-CoA hydratase activity(GO:0004300);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD+ binding(GO:0070403)",fatty acid metabolic process(GO:0006631);monocarboxylic acid metabolic process(GO:0032787),
Zm00001eb036220,UDP-glucuronate 4-epimerase 1,UDP-GLUCURONATE 4-EPIMERASE 6 (PTHR43574:SF28),epimerase/racemase(PC00096),isomerase activity(GO:0016853);racemase and epimerase activity(GO:0016854);UDP-glucuronate 4-epimerase activity(GO:0050378),galacturonate biosynthetic process(GO:0033481),Golgi cisterna membrane(GO:0032580)
Zm00001eb414960,Thyroid adenoma-associated protein-like protein,DUF2428 DOMAIN-CONTAINING PROTEIN (PTHR14387:SF0),scaffold/adaptor protein(PC00226),enzyme regulator activity(GO:0030234),tRNA nucleoside ribose methylation(GO:0002128);tRNA processing(GO:0008033),
Zm00001eb149630,Probable zinc-ribbon domain-containing protein,ZINC-RIBBON DOMAIN-CONTAINING PROTEIN-RELATED (PTHR31105:SF54),,,regulation of defense response to fungus(GO:1900150),
Zm00001eb256260,Nitrate reductase,"SULFITE OXIDASE, MITOCHONDRIAL (PTHR19372:SF7)",reductase(PC00198),sulfite oxidase activity(GO:0008482);nitrate reductase activity(GO:0008940);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);molybdenum ion binding(GO:0030151);molybdopterin cofactor binding(GO:0043546);metal ion binding(GO:0046872);nitrate reductase (NADPH) activity(GO:0050464),sulfur compound metabolic process(GO:0006790);nitric oxide biosynthetic process(GO:0006809);response to light stimulus(GO:0009416);nitrate metabolic process(GO:0042126);nitrate assimilation(GO:0042128),
Zm00001eb092880,Heavy metal transport_detoxification superfamily protein,HEAVY METAL TRANSPORT_DETOXIFICATION SUPERFAMILY PROTEIN (PTHR45868:SF77),,metal ion binding(GO:0046872),,
Zm00001eb255510,E3 ubiquitin-protein ligase ATL6,OS02G0759400 PROTEIN (PTHR14155:SF568),ubiquitin-protein ligase(PC00234),zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),,membrane(GO:0016020)
Zm00001eb319470,Auxin-responsive protein,AUXIN-RESPONSIVE PROTEIN IAA26 (PTHR31734:SF250),,,regulation of DNA-templated transcription(GO:0006355);response to auxin(GO:0009733);auxin-activated signaling pathway(GO:0009734),nucleus(GO:0005634)
Zm00001eb116750,F-box domain-containing protein,OS04G0113000 PROTEIN (PTHR34591:SF11),,,,
Zm00001eb248880,Protein kinase APK1A,OS02G0648100 PROTEIN (PTHR27001:SF585),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine/tyrosine kinase activity(GO:0004712);protein tyrosine kinase activity(GO:0004713);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),signal transduction(GO:0007165);response to cold(GO:0009409);response to water deprivation(GO:0009414);response to salt(GO:1902074),plasma membrane(GO:0005886)
Zm00001eb285090,Superoxide dismutase,"SUPEROXIDE DISMUTASE [MN], MITOCHONDRIAL (PTHR11404:SF6)",oxidoreductase(PC00176),superoxide dismutase activity(GO:0004784);oxidoreductase activity(GO:0016491);manganese ion binding(GO:0030145);metal ion binding(GO:0046872),superoxide metabolic process(GO:0006801);response to stress(GO:0006950);removal of superoxide radicals(GO:0019430),mitochondrion(GO:0005739);mitochondrial matrix(GO:0005759)
Zm00001eb260320,Uncharacterized protein,PROTEIN TRACHEARY ELEMENT DIFFERENTIATION-RELATED 7 (PTHR35697:SF1),,,plant-type secondary cell wall biogenesis(GO:0009834),
Zm00001eb386480,Tetratricopeptide repeat (TPR)-like superfamily protein,OS06G0606700 PROTEIN (PTHR26312:SF168),,,response to oxidative stress(GO:0006979),
Zm00001eb293090,GDSL esterase_lipase,OS05G0518300 PROTEIN (PTHR45650:SF13),lipase(PC00143),"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",lipid metabolic process(GO:0006629);lipid catabolic process(GO:0016042),extracellular region(GO:0005576)
Zm00001eb163280,Uncharacterized protein,DNA MISMATCH REPAIR PROTEIN (PTHR36377:SF1),DNA metabolism protein(PC00009),,,
Zm00001eb211870,Transducin_WD40 repeat-like superfamily protein,GENERAL TRANSCRIPTION FACTOR 3C POLYPEPTIDE 4 (PTHR15496:SF2),general transcription factor(PC00259),histone acetyltransferase activity(GO:0004402),chromatin remodeling(GO:0006338);transcription initiation at RNA polymerase III promoter(GO:0006384),transcription factor TFIIIC complex(GO:0000127)
Zm00001eb121520,Uncharacterized protein,EPHRIN TYPE-B RECEPTOR (PTHR31513:SF1),transmembrane signal receptor(PC00197),,,
Zm00001eb317860,S-acyltransferase,S-ACYLTRANSFERASE (PTHR22883:SF390),protein modifying enzyme(PC00260),palmitoyltransferase activity(GO:0016409);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);protein-cysteine S-palmitoyltransferase activity(GO:0019706),protein targeting to membrane(GO:0006612),endoplasmic reticulum(GO:0005783);Golgi apparatus(GO:0005794);membrane(GO:0016020)
Zm00001eb400920,UPF0496 protein,UPF0496 PROTEIN 1 (PTHR31113:SF3),,,,membrane(GO:0016020)
Zm00001eb398090,Male fertility protein,PROTEIN STRICTOSIDINE SYNTHASE-LIKE 13 (PTHR10426:SF21),,hydrolase activity(GO:0016787),,vacuole(GO:0005773)
Zm00001eb027970,Protein STRUBBELIG-RECEPTOR FAMILY 7,PROTEIN STRUBBELIG-RECEPTOR FAMILY 7 (PTHR48005:SF14),,protein kinase activity(GO:0004672);ATP binding(GO:0005524),,membrane(GO:0016020)
Zm00001eb219490,Ribosomal protein L10e_L16 domain-containing protein,LARGE RIBOSOMAL SUBUNIT PROTEIN UL16 (PTHR11726:SF10),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735),translation(GO:0006412);response to UV-B(GO:0010224),ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)
Zm00001eb378930,Chaperonin 60 subunit beta 2 chloroplastic,OS06G0114000 PROTEIN (PTHR45633:SF49),,nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP-dependent protein folding chaperone(GO:0140662),protein folding(GO:0006457);protein refolding(GO:0042026),
Zm00001eb103330,Homeobox-leucine zipper protein,HOMEOBOX-LEUCINE ZIPPER PROTEIN HOX6 (PTHR24326:SF122),homeodomain transcription factor(PC00119),"transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);response to water deprivation(GO:0009414);response to hormone(GO:0009725);response to lipid(GO:0033993);positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb036840,3'-5'-exoribonuclease family protein,EXOSOME COMPLEX COMPONENT RRP43 (PTHR11097:SF9),exoribonuclease(PC00099),RNA binding(GO:0003723);exonuclease activity(GO:0004527);mRNA 3'-UTR AU-rich region binding(GO:0035925),"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000467);rRNA processing(GO:0006364);RNA processing(GO:0006396);RNA catabolic process(GO:0006401);rRNA catabolic process(GO:0016075);U1 snRNA 3'-end processing(GO:0034473);U4 snRNA 3'-end processing(GO:0034475);U5 snRNA 3'-end processing(GO:0034476);nuclear mRNA surveillance(GO:0071028);nuclear polyadenylation-dependent rRNA catabolic process(GO:0071035);TRAMP-dependent tRNA surveillance pathway(GO:0071038)",nuclear exosome (RNase complex)(GO:0000176);cytoplasmic exosome (RNase complex)(GO:0000177);exosome (RNase complex)(GO:0000178);nucleolus(GO:0005730);cytoplasm(GO:0005737)
Zm00001eb412940,LHT1,LHT1 (PTHR48017:SF164),,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb104040,Serine_threonine-protein kinase STY46,SERINE_THREONINE-PROTEIN KINASE STY46 (PTHR23257:SF980),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),signal transduction(GO:0007165),cytoplasm(GO:0005737)
Zm00001eb005530,Kelch motif family protein,"REPEAT-CONTAINING F-BOX FAMILY PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR46122:SF25)",oxidase(PC00175),,,nucleus(GO:0005634)
Zm00001eb190340,Glutamine synthetase,GLUTAMINE SYNTHETASE CYTOSOLIC ISOZYME 1-1 (PTHR20852:SF93),ligase(PC00142),nucleotide binding(GO:0000166);catalytic activity(GO:0003824);glutamine synthetase activity(GO:0004356);ATP binding(GO:0005524);ligase activity(GO:0016874),glutamine biosynthetic process(GO:0006542),cytoplasm(GO:0005737)
Zm00001eb257290,CAP (Cysteine-rich secretory proteins Antigen 5 and Pathogenesis-related 1 protein) superfamily protein,OS06G0350600 PROTEIN (PTHR10334:SF470),defense/immunity protein(PC00090),,,extracellular region(GO:0005576);extracellular space(GO:0005615)
Zm00001eb361680,Putative MYB DNA-binding domain superfamily protein,OS01G0722300 PROTEIN (PTHR48000:SF66),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb430610,Transferase,HXXXD-TYPE ACYL-TRANSFERASE FAMILY PROTEIN (PTHR31642:SF266),acetyltransferase(PC00038),"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",,
Zm00001eb033650,DNA glycosylase superfamily protein,DNA GLYCOSYLASE SUPERFAMILY PROTEIN (PTHR31116:SF29),,catalytic activity(GO:0003824);DNA-3-methyladenine glycosylase activity(GO:0008725);metal ion binding(GO:0046872),DNA repair(GO:0006281);base-excision repair(GO:0006284),
Zm00001eb249130,ELMO_CED-12 family protein,ELMO_CED-12 FAMILY PROTEIN (PTHR12771:SF20),scaffold/adaptor protein(PC00226),,,
Zm00001eb427160,Transferase_ transferase,"ALPHA 1,4-GLYCOSYLTRANSFERASE FAMILY PROTEIN (PTHR46781:SF5)",glycosyltransferase(PC00111),transferase activity(GO:0016740),,
Zm00001eb050630,Cationic amino acid transporter 1,CATIONIC AMINO ACID TRANSPORTER 1 (PTHR43243:SF96),amino acid transporter(PC00046),amino acid transmembrane transporter activity(GO:0015171);transmembrane transporter activity(GO:0022857),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865);transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb151510,Insulin-degrading enzyme-like 1 peroxisomal,OS01G0779100 PROTEIN (PTHR43690:SF7),metalloprotease(PC00153),endopeptidase activity(GO:0004175);metalloendopeptidase activity(GO:0004222);peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),proteolysis(GO:0006508);peptide catabolic process(GO:0043171);proteolysis involved in protein catabolic process(GO:0051603),cytoplasm(GO:0005737);mitochondrion(GO:0005739);cytosol(GO:0005829)
Zm00001eb286770,Peptide chain release factor domain-containing protein,"PEPTIDE CHAIN RELEASE FACTOR PRFB3, CHLOROPLASTIC (PTHR43116:SF4)",translation release factor(PC00225),mRNA 3'-UTR binding(GO:0003730);sequence-specific DNA binding(GO:0043565),translational termination(GO:0006415);chloroplast organization(GO:0009658);regulation of mRNA stability(GO:0043488),chloroplast(GO:0009507);chloroplast stroma(GO:0009570)
Zm00001eb157850,DNA binding activity2,ATPASE H+ TRANSPORTING V1 SUBUNIT E1 (PTHR45715:SF3),,"proton-transporting ATPase activity, rotational mechanism(GO:0046961)",monoatomic ion transport(GO:0006811);proton transmembrane transport(GO:1902600),"proton-transporting two-sector ATPase complex, catalytic domain(GO:0033178)"
Zm00001eb290310,PRA1 family protein,PRENYLATED RAB ACCEPTOR PROTEIN 1 (PTHR19317:SF0),membrane traffic protein(PC00150),,vesicle-mediated transport(GO:0016192),endoplasmic reticulum(GO:0005783);Golgi apparatus(GO:0005794);membrane(GO:0016020)
Zm00001eb116250,RNA helicase,DEAD-BOX ATP-DEPENDENT RNA HELICASE 52B (PTHR47958:SF179),RNA helicase(PC00032),nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA helicase activity(GO:0003724);mRNA binding(GO:0003729);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787),,nucleus(GO:0005634)
Zm00001eb057490,Phytochrome,PHYTOCHROME C (PTHR43719:SF4),histidine kinase receptor of two-component system(PC00265),phosphorelay sensor kinase activity(GO:0000155);photoreceptor activity(GO:0009881);protein homodimerization activity(GO:0042803),"phosphorelay signal transduction system(GO:0000160);regulation of DNA-templated transcription(GO:0006355);signal transduction(GO:0007165);detection of visible light(GO:0009584);red, far-red light phototransduction(GO:0009585);protein-tetrapyrrole linkage(GO:0017006)",nucleus(GO:0005634)
Zm00001eb143200,Exostosin-like,OJ1485_B09.5 PROTEIN (PTHR11062:SF48),glycosyltransferase(PC00111),glycosyltransferase activity(GO:0016757),,Golgi membrane(GO:0000139)
Zm00001eb360650,Cytidyltransferase isoform 1,NICOTINAMIDE MONONUCLEOTIDE ADENYLYLTRANSFERASE (PTHR31285:SF0),transferase(PC00220),nicotinamide-nucleotide adenylyltransferase activity(GO:0000309);catalytic activity(GO:0003824);transferase activity(GO:0016740);nucleotidyltransferase activity(GO:0016779);ATP hydrolysis activity(GO:0016887),NAD+ biosynthetic process via the salvage pathway(GO:0034355),nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb408010,Fructose-bisphosphate aldolase,"FRUCTOSE-BISPHOSPHATE ALDOLASE, CHLOROPLASTIC (PTHR11627:SF16)",aldolase(PC00044),fructose-bisphosphate aldolase activity(GO:0004332);lyase activity(GO:0016829),"glycolytic process(GO:0006096);fructose 1,6-bisphosphate metabolic process(GO:0030388)",cytosol(GO:0005829);chloroplast(GO:0009507)
Zm00001eb059850,"Ferredoxin--NADP reductase, chloroplastic","FERREDOXIN--NADP REDUCTASE, ROOT ISOZYME 2, CHLOROPLASTIC (PTHR43314:SF28)",,nucleotide binding(GO:0000166);ferredoxin-NADP+ reductase activity(GO:0004324);oxidoreductase activity(GO:0016491),photosynthesis(GO:0015979),chloroplast(GO:0009507);chloroplast thylakoid membrane protein complex(GO:0098807)
Zm00001eb004170,Cell division control protein 48 homolog D,CELL DIVISION CONTROL PROTEIN 48 HOMOLOG E (PTHR23077:SF200),primary active transporter(PC00068),nucleotide binding(GO:0000166);ATP binding(GO:0005524);hydrolase activity(GO:0016787);ATP hydrolysis activity(GO:0016887);polyubiquitin modification-dependent protein binding(GO:0031593),"retrograde protein transport, ER to cytosol(GO:0030970);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161);mitotic spindle disassembly(GO:0051228);cell division(GO:0051301);autophagosome maturation(GO:0097352)",nucleus(GO:0005634);cytosol(GO:0005829);VCP-NPL4-UFD1 AAA ATPase complex(GO:0034098)
Zm00001eb418160,Cullin-1,CULLIN-1 (PTHR11932:SF143),ubiquitin-protein ligase(PC00234),ubiquitin protein ligase binding(GO:0031625);ubiquitin ligase complex scaffold activity(GO:0160072),ubiquitin-dependent protein catabolic process(GO:0006511);jasmonic acid mediated signaling pathway(GO:0009867);protein ubiquitination(GO:0016567);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161),nucleus(GO:0005634);cullin-RING ubiquitin ligase complex(GO:0031461)
Zm00001eb329190,ATP12 ATPase,ATP SYNTHASE MITOCHONDRIAL F1 COMPLEX ASSEMBLY FACTOR 2 (PTHR21013:SF10),chaperone(PC00072),,mitochondrial proton-transporting ATP synthase complex assembly(GO:0033615);proton-transporting ATP synthase complex assembly(GO:0043461),mitochondrion(GO:0005739)
Zm00001eb275680,RNA-binding (RRM_RBD_RNP motifs) family protein,RNA-BINDING (RRM_RBD_RNP MOTIFS) FAMILY PROTEIN (PTHR11176:SF26),RNA metabolism protein(PC00031),nucleic acid binding(GO:0003676);RNA binding(GO:0003723),,
Zm00001eb330020,Superoxide dismutase [Cu-Zn] 2,SUPEROXIDE DISMUTASE [CU-ZN] (PTHR10003:SF71),oxidoreductase(PC00176),superoxide dismutase activity(GO:0004784);copper ion binding(GO:0005507);antioxidant activity(GO:0016209);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872),superoxide metabolic process(GO:0006801);removal of superoxide radicals(GO:0019430),cytoplasm(GO:0005737)
Zm00001eb015530,Phospholipid-transporting ATPase,,,nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872);ATPase-coupled intramembrane lipid transporter activity(GO:0140326),phospholipid transport(GO:0015914);lipid translocation(GO:0034204),membrane(GO:0016020)
Zm00001eb074600,Cyclin-U2-1,CYCLIN-U2-1 (PTHR15615:SF15),,protein kinase binding(GO:0019901),cell division(GO:0051301),
Zm00001eb029250,RING-type E3 ubiquitin transferase,E3 UBIQUITIN-PROTEIN LIGASE SPL11 (PTHR23315:SF236),ubiquitin-protein ligase(PC00234),ubiquitin-protein transferase activity(GO:0004842);transferase activity(GO:0016740);ubiquitin protein ligase activity(GO:0061630),"protein ubiquitination(GO:0016567);negative regulation of programmed cell death(GO:0043069);regulation of photoperiodism, flowering(GO:2000028)",nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb367960,FAS1 domain-containing protein,FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 4 (PTHR32382:SF0),cell adhesion molecule(PC00069),,abscisic acid-activated signaling pathway(GO:0009738);multidimensional cell growth(GO:0009825);mucilage biosynthetic process involved in seed coat development(GO:0048354),plasma membrane(GO:0005886);side of membrane(GO:0098552)
Zm00001eb330750,Eukaryotic translation initiation factor 2 beta subunit,EUKARYOTIC TRANSLATION INITIATION FACTOR 2 BETA SUBUNIT (PTHR23001:SF44),translation initiation factor(PC00224),mRNA binding(GO:0003729);translation initiation factor activity(GO:0003743);translation initiation factor binding(GO:0031369),formation of translation preinitiation complex(GO:0001731);translation(GO:0006412);translational initiation(GO:0006413),eukaryotic translation initiation factor 2 complex(GO:0005850)
Zm00001eb418870,RING_U-box superfamily protein,RING_U-BOX SUPERFAMILY PROTEIN (PTHR46158:SF1),,zinc ion binding(GO:0008270);metal ion binding(GO:0046872),,
Zm00001eb119320,Thioesterase family protein,OS01G0229200 PROTEIN (PTHR45898:SF7),transporter(PC00227),phosphatidylinositol binding(GO:0035091);ubiquitin binding(GO:0043130),protein transport(GO:0015031);protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway(GO:0043328),cytoplasm(GO:0005737);membrane(GO:0016020)
Zm00001eb327750,Cyclin N-terminal domain-containing protein,CYCLIN-D2-2 (PTHR10177:SF235),kinase activator(PC00138),cyclin-dependent protein serine/threonine kinase regulator activity(GO:0016538),G1/S transition of mitotic cell cycle(GO:0000082);cell division(GO:0051301),cyclin-dependent protein kinase holoenzyme complex(GO:0000307);nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb402160,Putative thaumatin domain family protein,NUCLEAR PORE COMPLEX PROTEIN NUP96 (PTHR23198:SF26),transporter(PC00227),structural constituent of nuclear pore(GO:0017056),"nucleocytoplasmic transport(GO:0006913);protein transport(GO:0015031);photoperiodism, flowering(GO:0048573);mRNA transport(GO:0051028)",nuclear envelope(GO:0005635);nuclear pore(GO:0005643)
Zm00001eb018860,"Splicing factor, arginine_serine-rich 2",SC35-LIKE SPLICING FACTOR (PTHR48028:SF4),,nucleic acid binding(GO:0003676);RNA binding(GO:0003723),mRNA processing(GO:0006397);RNA splicing(GO:0008380),nucleus(GO:0005634)
Zm00001eb363310,RNA-binding protein BRN1,"BRUNO 3, ISOFORM Q (PTHR24012:SF690)",RNA metabolism protein(PC00031),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA binding(GO:0003729),"mRNA catabolic process(GO:0006402);flower development(GO:0009908);regulation of photoperiodism, flowering(GO:2000028)",nucleus(GO:0005634);cytoplasm(GO:0005737);ribonucleoprotein complex(GO:1990904)
Zm00001eb288190,MLO-like protein,MLO-LIKE PROTEIN (PTHR31942:SF129),,calmodulin binding(GO:0005516),defense response(GO:0006952),membrane(GO:0016020)
Zm00001eb225470,Uncharacterized protein,OS06G0683900 PROTEIN (PTHR36386:SF1),,,,
Zm00001eb021390,"Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB2, chloroplastic","PROTEIN COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB2, CHLOROPLASTIC (PTHR36403:SF1)",,,,
Zm00001eb127290,Major facilitator superfamily (MFS) profile domain-containing protein,MAJOR FACILITATOR SUPERFAMILY (MFS) PROFILE DOMAIN-CONTAINING PROTEIN (PTHR48021:SF17),,transmembrane transporter activity(GO:0022857);sugar transmembrane transporter activity(GO:0051119),carbohydrate transport(GO:0008643);carbohydrate transmembrane transport(GO:0034219);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb061080,Uncharacterized protein,,,,,
Zm00001eb137060,DUF4149 domain-containing protein,LD23009P (PTHR23241:SF102),,,,membrane(GO:0016020)
Zm00001eb280720,Gnk2-homologous domain-containing protein,OS06G0253600 PROTEIN (PTHR32080:SF63),,,,plasma membrane(GO:0005886);plasmodesma(GO:0009506)
Zm00001eb344110,PDZ domain-containing protein,PDZ DOMAIN-CONTAINING PROTEIN (PTHR43343:SF2),serine protease(PC00203),"serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787);catalytic activity, acting on a protein(GO:0140096)",proteolysis(GO:0006508);photosystem II repair(GO:0010206),chloroplast(GO:0009507);chloroplast thylakoid(GO:0009534)
Zm00001eb378370,AAA-type ATPase family protein,SPASTIN (PTHR23074:SF86),non-motor microtubule binding protein(PC00166),nucleotide binding(GO:0000166);ATP binding(GO:0005524);microtubule severing ATPase activity(GO:0008568);isomerase activity(GO:0016853);ATP hydrolysis activity(GO:0016887),microtubule cytoskeleton organization(GO:0000226);microtubule severing(GO:0051013),cytoplasm(GO:0005737);spindle(GO:0005819);microtubule(GO:0005874)
Zm00001eb152480,Dynein light chain,OS01G0760000 PROTEIN (PTHR11886:SF107),microtubule or microtubule-binding cytoskeletal protein(PC00157),dynein intermediate chain binding(GO:0045505),microtubule-based process(GO:0007017),cytoskeleton(GO:0005856);cytoplasmic dynein complex(GO:0005868);microtubule(GO:0005874);dynein complex(GO:0030286)
